prompt_len,gen_len,ttft_ms,tpot_ms,tokens_s,peak_mem_mb,kv_est_mb,kv_actual_mb
64,32,62.03,47.67,21.0,5065.4,9.75,38.51
64,64,56.5,52.43,19.4,5065.4,13.0,38.51
64,128,59.22,50.58,19.9,5065.4,19.5,38.51
128,32,68.03,57.34,17.7,5133.2,16.25,75.51
128,64,60.74,52.85,19.2,5133.2,19.5,75.51
128,128,61.58,51.42,19.6,5133.2,26.0,75.51
256,32,87.58,53.74,18.9,5273.7,29.25,152.01
256,64,88.65,48.92,20.5,5273.7,32.5,152.01
256,128,87.95,53.49,18.8,5273.7,39.0,152.01
512,32,172.04,48.69,20.5,5548.9,55.25,302.01
512,64,173.29,52.06,19.4,5548.9,58.5,302.01
512,128,173.77,52.95,19.0,5548.9,65.0,302.01
512,32,174.02,50.11,19.9,5548.9,55.25,302.01
512,128,173.73,52.46,19.2,5548.9,65.0,302.01
1024,32,411.65,47.88,20.9,6108.1,107.25,609.01
1024,128,412.32,51.84,19.4,6108.1,117.0,609.01
2048,32,1031.21,54.73,18.4,7211.6,211.25,1208.01
2048,128,1034.41,53.94,18.6,7211.6,221.0,1208.01
