prompt_len,gen_len,ttft_ms,tpot_ms,tokens_s,peak_mem_mb,kv_est_mb
64,32,55.41,47.62,21.0,5065.4,9.75
64,64,57.97,62.22,16.1,5065.4,13.0
64,128,56.12,47.72,21.0,5065.4,19.5
128,32,64.44,47.92,20.9,5133.2,16.25
128,64,60.76,54.67,18.3,5133.2,19.5
128,128,70.23,50.41,19.8,5133.2,26.0
256,32,89.52,46.76,21.4,5273.7,29.25
256,64,86.14,48.06,20.8,5273.7,32.5
256,128,94.09,52.73,19.0,5273.7,39.0
512,32,174.48,48.48,20.6,5548.9,55.25
512,64,170.17,46.24,21.6,5548.9,58.5
512,128,175.69,53.89,18.6,5548.9,65.0
