prompt_len,requested_gen_len,actual_gen_len,ttft_ms,tpot_ms,tokens_s,peak_mem_mb,kv_est_mb,kv_pkv_prefill_mb,kv_pkv_final_mb,kv_peak_pct,status,message_zh,repeat_completed
64,32,32,58.62,46.42,21.5,5065.4,9.75,6.5,9.75,0.19,ok,完成。,3
64,64,64,55.99,50.59,20.0,5065.4,13.0,6.5,13.0,0.26,ok,完成。,3
64,128,128,56.42,48.22,20.8,5065.4,19.5,6.5,19.5,0.38,ok,完成。,3
128,32,32,62.84,53.08,19.1,5133.2,16.25,13.0,16.25,0.32,ok,完成。,3
128,64,64,59.12,47.97,20.9,5133.2,19.5,13.0,19.5,0.38,ok,完成。,3
128,128,128,62.82,65.08,17.3,5133.2,26.0,13.0,26.0,0.51,ok,完成。,3
256,32,32,93.27,53.94,18.8,5273.7,29.25,26.0,29.25,0.55,ok,完成。,3
256,64,64,90.83,49.64,20.3,5273.7,32.5,26.0,32.5,0.62,ok,完成。,3
256,128,128,93.82,48.21,20.8,5273.7,39.0,26.0,39.0,0.74,ok,完成。,3
512,32,32,179.42,50.11,20.2,5548.9,55.25,52.0,55.25,1.0,ok,完成。,3
512,64,64,178.1,48.42,20.7,5548.9,58.5,52.0,58.5,1.05,ok,完成。,3
512,128,128,177.57,50.78,19.8,5548.9,65.0,52.0,65.0,1.17,ok,完成。,3
1024,32,32,432.92,45.84,21.8,6109.6,107.25,104.0,107.25,1.76,ok,完成。,3
1024,64,64,434.06,49.85,20.3,6109.6,110.5,104.0,110.5,1.81,ok,完成。,3
1024,128,128,430.62,50.65,19.8,6109.6,117.0,104.0,117.0,1.92,ok,完成。,3
2048,32,32,1078.63,49.81,20.1,7215.6,211.25,208.0,211.25,2.93,ok,完成。,3
2048,64,64,1077.31,52.66,19.0,7215.6,214.5,208.0,214.5,2.97,ok,完成。,3
2048,128,128,1071.94,52.44,19.1,7215.6,221.0,208.0,221.0,3.06,ok,完成。,3
